ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,CALLE,ALTURA,CRUCE,DIRECCIÓN NORMALIZADA,COMUNA,POS X,POS Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,PARTICIPANTE A,PARTICIPANTE B,RANGO_ETARIO,ENCRUCIJADA
2016-0056,1,2016-04-26,04:45:00,avenida,"campos, luis m. av.",30.0,sin datos,"campos, luis m. av. 30",14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,26.0,moto,objeto fijo,18-29,False
2016-0058,1,2016-05-04,14:00:00,calle,lima,1471.0,sin datos,lima 1471,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,57.0,peaton,moto,45-64,False
2016-0059,1,2016-05-08,16:30:00,calle,ciudadela,sin datos,lima,ciudadela y lima,1,-58.38222219,-34.62728101,peaton,pasajeros,peaton,masculino,37.0,peaton,pasajeros,30-44,True
2016-0064,1,2016-05-14,18:11:00,avenida,"justo, juan b. av.",sin datos,carrasco av.,"justo, juan b. av. y carrasco av.",10,-58.49485242,-34.62953445,peaton,pasajeros,peaton,masculino,20.0,peaton,pasajeros,18-29,True
2016-0065,1,2016-05-20,14:40:00,avenida,gaona av.,sin datos,espinosa,gaona av. y espinosa,6,-58.45227946,-34.61068024,peaton,auto,peaton,masculino,20.0,peaton,auto,18-29,True
2016-0067,1,2016-05-21,17:00:00,avenida,"de la torre, lisandro",sin datos,saraza,"de la torre, lisandro y saraza",8,-58.48455411,-34.67512760,moto,pasajeros,pasajero_acompañante,femenino,30.0,moto,pasajeros,30-44,True
2016-0068,1,2016-05-22,22:00:00,avenida,"figueroa alcorta, pres. av.",sin datos,pueyrredon av.,"figueroa alcorta, pres. av. y pueyrredon av.",2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,58.0,moto,pasajeros,45-64,True
2016-0069,1,2016-05-23,03:30:00,avenida,entre rios av.,sin datos,filiberto,entre rios av. y filiberto,3,-58.39118948,-34.62704273,auto,cargas,conductor,masculino,30.0,auto,cargas,30-44,True
2016-0073,1,2016-06-11,15:00:00,calle,"magari?os cervantes, a.",3900.0,sin datos,"magariã‘os cervantes, a. 3900",10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,23.0,moto,cargas,18-29,False
2016-0074,1,2016-06-12,06:40:00,gral paz,"paz, gral. av.",sin datos,"scapino, rodolfo","paz, gral. av. y scapino, rodolfo",8,-58.49896559,-34.67732118,auto,auto,conductor,masculino,60.0,auto,auto,45-64,True
2016-0075,1,2016-06-12,23:13:00,autopista,autopista dellepiane luis tte. gral.,sin datos,miralla,autopista dellepiane luis tte. gral. y miralla,8,-58.47461076,-34.66874679,peaton,auto,peaton,masculino,42.0,peaton,auto,30-44,True
2016-0076,1,2016-06-13,16:20:00,avenida,san martin av.,sin datos,camarones,san martin av. y camarones,15,-58.46210891,-34.60356211,peaton,pasajeros,peaton,femenino,53.0,peaton,pasajeros,45-64,True
2016-0077,1,2016-06-13,21:52:00,avenida,"peron, juan domingo, tte. general",sin datos,"alem, leandro n. av.","peron, juan domingo, tte. general y alem, leandro n. av.",1,-58.37027770,-34.60536123,peaton,pasajeros,peaton,femenino,sin datos,peaton,pasajeros,sin datos,True
2016-0078,1,2016-06-13,23:01:00,avenida,belgrano av.,sin datos,jujuy av.,belgrano av. y jujuy av.,3,-58.40491455,-34.61463830,moto,moto,conductor,masculino,30.0,moto,moto,30-44,True
2016-0079,1,2016-06-16,17:13:00,avenida,del libertador av.,sin datos,"udaondo, guillermo av.","del libertador av. y udaondo, guillermo av.",13,-58.45504154,-34.54864492,auto,auto,conductor,femenino,51.0,auto,auto,45-64,True
2016-0080,1,2016-06-18,06:42:00,gral paz,"paz, gral. av.",sin datos,rivadavia av.,"paz, gral. av. y rivadavia av.",9,-58.52927982,-34.63931752,auto,sin datos,conductor,masculino,60.0,auto,sin datos,45-64,True
2016-0081,1,2016-06-22,07:42:00,avenida,"larralde, crisologo av.",sin datos,machain,"larralde, crisologo av. y machain",12,-58.48721060,-34.55904606,moto,auto,conductor,masculino,40.0,moto,auto,30-44,True
2016-0082,1,2016-06-27,18:24:00,avenida,la plata av.,2384.0,sin datos,la plata av. 2384,4,-58.42273092,-34.64228803,peaton,auto,peaton,masculino,87.0,peaton,auto,65+,False
2016-0083,1,2016-06-28,20:46:00,avenida,"alberdi, juan bautista av.",sin datos,puan,"alberdi, juan bautista av. y puan",6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,76.0,peaton,moto,65+,True
2016-0084,1,2016-06-29,22:00:00,calle,"pellegrini, carlos",sin datos,tucuman,"pellegrini, carlos y tucuman",1,-58.38110563,-34.60135531,peaton,pasajeros,peaton,masculino,57.0,peaton,pasajeros,45-64,True
2016-0085,1,2016-06-29,22:00:00,avenida,"rabanal, francisco, intendente av.",sin datos,erezcano,"rabanal, francisco, intendente av. y erezcano",4,-58.42378834,-34.65734100,moto,otro,sin datos,masculino,sin datos,moto,movil,sin datos,True
2016-0086,1,2016-06-30,16:10:00,avenida,olivera av.,sin datos,"falcon, ramon l.,cnel.","olivera av. y falcon, ramon l.,cnel.",10,-58.48727942,-34.63652467,peaton,pasajeros,peaton,masculino,75.0,peaton,pasajeros,65+,True
2016-0087,1,2016-07-02,00:10:00,autopista,autopista 1 sur presidente arturo frondizi,sin datos,sin datos,autopista 1 sur presidente arturo frondizi y caseros av.,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,23.0,moto,objeto fijo,18-29,False
2016-0088,1,2016-07-11,15:30:00,calle,ceretti,sin datos,nu?ez,ceretti y nuã‘ez,12,-58.50151750,-34.56767549,peaton,auto,peaton,femenino,70.0,peaton,auto,65+,True
2016-0089,1,2016-07-14,06:40:00,autopista,"lugones, leopoldo av.",sin datos,la pampa,"lugones, leopoldo av. y la pampa",13,-58.43233425,-34.55185825,peaton,auto,peaton,masculino,35.0,peaton,auto,30-44,True
2016-0090,1,2016-07-14,22:00:00,avenida,"salguero, jeronimo",sin datos,rivadavia av.,"salguero, jeronimo y rivadavia av.",5,-58.41971993,-34.61112240,peaton,pasajeros,peaton,masculino,60.0,peaton,pasajeros,45-64,True
2016-0092,1,2016-07-15,11:00:00,gral paz,"paz, gral. av.",sin datos,del libertador av.,"paz, gral. av. y del libertador av.",13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,24.0,moto,cargas,18-29,True
2016-0093,1,2016-07-17,03:30:00,avenida,"alberdi, juan bautista av.",sin datos,"mitre, emilio","alberdi, juan bautista av. y mitre, emilio",6,-58.44362126,-34.62301748,auto,auto,conductor,masculino,35.0,auto,auto,30-44,True
2016-0095,1,2016-07-23,06:12:00,avenida,mercedes,sin datos,mosconi general av.,mercedes y mosconi general av.,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,29.0,moto,auto,18-29,True
2016-0096,1,2016-07-25,07:00:00,autopista,autopista dellepiane luis tte. gral.,sin datos,sin datos,autopista dellepiane luis tte. gral.,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,sin datos,moto,cargas,sin datos,False
2016-0097,1,2016-07-26,18:45:00,calle,solis,sin datos,mexico,solis y mexico,1,-58.39038605,-34.61562810,peaton,auto,peaton,masculino,80.0,peaton,auto,65+,True
2016-0098,1,2016-07-27,16:08:00,avenida,san juan av.,sin datos,alberti,san juan av. y alberti,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,43.0,moto,cargas,30-44,True
2016-0099,1,2016-07-29,16:00:00,gral paz,mosconi general av.,sin datos,"paz, gral. av.","mosconi general av. y paz, gral. av.",11,-58.52340614,-34.59798754,cargas,cargas,conductor,masculino,45.0,cargas,cargas,45-64,True
2016-0100,1,2016-08-03,23:27:00,gral paz,"paz, gral. av.",sin datos,donado,"paz, gral. av. y donado",12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,57.0,moto,objeto fijo,45-64,True
2016-0101,1,2016-08-07,19:42:00,gral paz,"paz, gral. av.",sin datos,"chavez, jorge","paz, gral. av. y chavez, jorge",9,-58.52932872,-34.65014993,sin datos,sin datos,sin datos,masculino,67.0,sin datos,sin datos,65+,True
2016-0102,1,2016-08-10,23:37:00,avenida,"peron, eva av.",sin datos,"suarez, jose leon","peron, eva av. y suarez, jose leon",9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,29.0,moto,cargas,18-29,True
2016-0104,1,2016-08-14,21:15:00,avenida,zinny,sin datos,santiago de compostela av.,zinny y santiago de compostela av.,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,21.0,moto,pasajeros,18-29,True
2016-0105,1,2016-08-17,00:05:00,avenida,"lacroze, federico av.",sin datos,fraga,"lacroze, federico av. y fraga",15,-58.45343236,-34.58435809,peaton,pasajeros,peaton,masculino,19.0,peaton,pasajeros,18-29,True
2016-0106,1,2016-08-19,21:02:00,avenida,"pellegrini, carlos",sin datos,del libertador av.,"pellegrini, carlos y del libertador av.",1,-58.38090932,-34.58927731,peaton,pasajeros,peaton,masculino,38.0,peaton,pasajeros,30-44,True
2016-0107,1,2016-08-20,08:22:00,autopista,autopista 1 sur presidente arturo frondizi,sin datos,sin datos,autopista 1 sur presidente arturo frondizi y don pedro de mendoza av.,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,21.0,moto,auto,18-29,False
2016-0109,1,2016-08-24,05:45:00,autopista,autopista perito moreno,sin datos,barragan,autopista perito moreno y barragan,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,femenino,53.0,auto,objeto fijo,45-64,True
2016-0110,1,2016-08-24,20:21:00,avenida,"alberdi, juan bautista av.",sin datos,carhue,"alberdi, juan bautista av. y carhue",9,-58.51232237,-34.65903530,peaton,sin datos,peaton,masculino,57.0,peaton,sin datos,45-64,True
2016-0111,1,2016-08-25,09:30:00,autopista,lugones,sin datos,la pampa,lugones y la pampa,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,27.0,moto,cargas,18-29,True
2016-0112,1,2016-08-27,04:40:00,autopista,autopista 25 de mayo,sin datos,autopista 1 sur presidente arturo frondizi,autopista 25 de mayo y autopista 1 sur presidente arturo frondizi,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,24.0,moto,objeto fijo,18-29,True
2016-0113,1,2016-08-27,16:45:00,avenida,"alberdi, juan bautista av.",sin datos,guardia nacional,"alberdi, juan bautista av. y guardia nacional",9,-58.49603546,-34.64564271,peaton,pasajeros,peaton,femenino,60.0,peaton,pasajeros,45-64,True
2016-0114,1,2016-08-31,11:20:00,calle,"salguero, jeronimo",1410.0,sin datos,"salguero, jeronimo 1410",14,-58.41848605,-34.59394733,bicicleta,cargas,ciclista,femenino,55.0,bicicleta,cargas,45-64,False
2016-0115,1,2016-09-02,11:50:00,calle,arias,sin datos,tronador,arias y tronador,12,-58.48935041,-34.54917673,sin datos,cargas,sin datos,masculino,sin datos,sin datos,cargas,sin datos,True
2016-0116,1,2016-09-02,20:20:00,avenida,27 de febrero av.,sin datos,escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,30.0,moto,auto,30-44,True
2016-0117,1,2016-09-03,15:30:00,avenida,del libertador av.,sin datos,tagle,del libertador av. y tagle,14,-58.39936478,-34.58271474,auto,auto,conductor,masculino,43.0,auto,auto,30-44,True
2016-0118,1,2016-09-04,03:30:00,autopista,autopista 1 sur presidente arturo frondizi,sin datos,sin datos,autopista 1 sur presidente arturo frondizi km. 2.9,1,-58.37936704,-34.62694503,auto,auto,conductor,masculino,27.0,auto,auto,18-29,False
2016-0119,1,2016-09-04,06:40:00,avenida,"larralde, crisologo av.",sin datos,triunvirato av.,"larralde, crisologo av. y triunvirato av.",12,-58.49659234,-34.56353635,sin datos,sin datos,pasajero_acompañante,femenino,sin datos,sin datos,sin datos,sin datos,True
2016-0122,1,2016-09-13,07:10:00,avenida,"peron, eva av.",4233.0,sin datos,"peron, eva av. 4233",9,-58.47256391,-34.65194557,bicicleta,pasajeros,ciclista,masculino,49.0,bicicleta,pasajeros,45-64,False
2016-0123,1,2016-09-14,09:00:00,avenida,asamblea av.,sin datos,"bonorino, esteban, cnel. av.","asamblea av. y bonorino, esteban, cnel. av.",7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,58.0,moto,auto,45-64,True
2016-0124,1,2016-09-16,15:24:00,avenida,rivadavia av.,sin datos,rivera indarte av.,rivadavia av. y rivera indarte av.,7,-58.46271207,-34.62884871,peaton,pasajeros,peaton,masculino,67.0,peaton,pasajeros,65+,True
2016-0125,1,2016-09-17,12:14:00,autopista,autopista perito moreno,sin datos,"alberdi, juan bautista av.","autopista perito moreno y alberdi, juan bautista av.",10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,30.0,moto,moto,30-44,True
2016-0126,2,2016-09-18,22:45:00,calle,irigoyen,sin datos,tinogasta,irigoyen y tinogasta,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,37.0,auto,cargas,30-44,True
2016-0126,2,2016-09-18,22:45:00,calle,irigoyen,sin datos,tinogasta,irigoyen y tinogasta,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompañante,masculino,60.0,auto,cargas,45-64,True
2016-0127,1,2016-09-24,10:25:00,avenida,"acosta, mariano",sin datos,"roca, cnel. av.","acosta, mariano y roca, cnel. av.",8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,50.0,peaton,pasajeros,45-64,True
2016-0128,1,2016-10-02,11:30:00,avenida,castro,sin datos,pavon av.,castro y pavon av.,5,-58.41914024,-34.63053890,peaton,pasajeros,peaton,femenino,81.0,peaton,pasajeros,65+,True
2016-0130,1,2016-10-04,12:30:00,autopista,autopista 1 sur presidente arturo frondizi,sin datos,sin datos,autopista 1 sur presidente arturo frondizi y brasil,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29.0,moto,cargas,18-29,False
2016-0131,1,2016-10-09,19:13:00,calle,mirave,3500.0,sin datos,mirave 3500,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,35.0,peaton,auto,30-44,False
2016-0132,1,2016-10-10,02:30:00,avenida,san juan av.,sin datos,24 de noviembre,san juan av. y 24 de noviembre,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompañante,masculino,30.0,auto,pasajeros,30-44,True
2016-0133,1,2016-10-14,00:05:00,avenida,las heras general av.,sin datos,sanchez de bustamante,las heras general av. y sanchez de bustamante,14,-58.40204698,-34.58342690,moto,auto,conductor,masculino,41.0,moto,auto,30-44,True
2016-0134,1,2016-10-23,05:00:00,avenida,piedra buena av.,sin datos,2 de abril de 1982,piedra buena av. y 2 de abril de 1982,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25.0,moto,objeto fijo,18-29,True
2016-0135,1,2016-10-24,05:00:00,avenida,"figueroa alcorta, pres. av.",sin datos,"pinedo, int.","figueroa alcorta, pres. av. y pinedo, int.",14,-58.42260225,-34.56403694,peaton,sin datos,peaton,masculino,29.0,peaton,sin datos,18-29,True
2016-0136,1,2016-10-25,00:00:00,autopista,autopista buenos aires - la plata,sin datos,sin datos,sin datos,4,sin datos,sin datos,moto,cargas,conductor,sin datos,sin datos,moto,cargas,sin datos,False
